GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
zawodyweb,com.zawodyweb.zawodyweb.controllers,ContestController,0,24,0,0,0,7,0,4,0,4
zawodyweb,com.zawodyweb.zawodyweb.controllers,AuthController,9,20,0,0,2,6,1,3,1,3
zawodyweb,com.zawodyweb.zawodyweb.database.dto,UserResponse,0,20,0,0,0,8,0,1,0,1
zawodyweb,com.zawodyweb.zawodyweb.database.enums,Role,3,21,0,0,1,4,1,1,1,1
zawodyweb,com.zawodyweb.zawodyweb.database.enums,TestStatus,0,39,0,0,0,7,0,1,0,1
zawodyweb,com.zawodyweb.zawodyweb.database.enums,SubmissionState,0,57,0,0,0,10,0,1,0,1
zawodyweb,com.zawodyweb.zawodyweb.database.models,ProgrammingLanguage,0,3,0,0,0,1,0,1,0,1
zawodyweb,com.zawodyweb.zawodyweb.database.models,User,0,9,0,0,0,3,0,3,0,3
zawodyweb,com.zawodyweb.zawodyweb.database.models,ProblemLanguage,0,3,0,0,0,1,0,1,0,1
zawodyweb,com.zawodyweb.zawodyweb.database.models,TestCase,6,3,0,0,1,1,1,1,1,1
zawodyweb,com.zawodyweb.zawodyweb.database.models,Submission,0,9,0,0,0,4,0,1,0,1
zawodyweb,com.zawodyweb.zawodyweb.database.models,SubmissionResult,6,3,0,0,1,1,1,1,1,1
zawodyweb,com.zawodyweb.zawodyweb,ZawodywebApplication,5,3,0,0,2,1,1,1,1,1
zawodyweb,com.zawodyweb.zawodyweb.database.mappers,ContestMapperImpl,33,100,6,4,11,24,6,4,1,4
zawodyweb,com.zawodyweb.zawodyweb.config,AdminUserConfig,0,39,1,1,0,11,1,3,0,3
zawodyweb,com.zawodyweb.zawodyweb.config,OpenApiConfig,0,3,0,0,0,1,0,1,0,1
zawodyweb,com.zawodyweb.zawodyweb.config,JwtAuthenticationFilter,0,63,3,7,0,15,3,3,0,1
zawodyweb,com.zawodyweb.zawodyweb.config,ApplicationConfig,5,32,0,0,0,9,1,5,1,5
zawodyweb,com.zawodyweb.zawodyweb.config,SecurityConfiguration,0,118,0,0,0,22,0,5,0,5
zawodyweb,com.zawodyweb.zawodyweb.exceptions,BusinessException,17,0,0,0,7,0,3,0,3,0
zawodyweb,com.zawodyweb.zawodyweb.exceptions,GlobalExceptionHandler,63,13,0,0,22,3,5,2,5,2
zawodyweb,com.zawodyweb.zawodyweb.services,UserServiceImpl,33,78,5,1,5,20,5,3,2,3
zawodyweb,com.zawodyweb.zawodyweb.services,ContestService,4,48,1,1,1,11,1,4,0,4
zawodyweb,com.zawodyweb.zawodyweb.services,JwtService,4,104,2,2,1,24,3,11,1,11
